,Unnamed: 0,date,game_center,geo_location,attendance,capacity,guest,home,streak_home,streak_guest
56,56,2016-10-12 19:30:00,American Airlines Center,"Dallas, TX",18329,19200,Thunder,Mavericks,0,0
57,57,2016-10-17 18:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",1,18203,Timberwolves,Thunder,0,0
58,58,2016-10-19 19:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",1,18203,Nuggets,Thunder,0,0
59,59,2017-03-02 19:00:00,Amway Center,"Orlando, FL",16005,18500,Knicks,Magic,-1,1
60,60,2016-12-02 19:00:00,Spectrum Center,"Charlotte, NC",14471,19077,Mavericks,Hornets,1,-2
61,61,2017-02-02 19:00:00,Amway Center,"Orlando, FL",16662,18500,Pacers,Magic,-2,4
62,62,2017-04-02 14:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Lakers,Clippers,3,-4
63,63,2017-02-02 19:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Timberwolves,Cavaliers,1,-1
64,64,2017-01-02 18:00:00,Philips Arena,"Atlanta, GA",18088,18729,Spurs,Hawks,3,-1
65,65,2016-10-26 18:30:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Knicks,Cavaliers,1,-1
66,66,2016-10-26 21:00:00,Moda Center,"Portland, OR",19446,19441,Jazz,Trail,0,-1
67,67,2016-10-26 21:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Spurs,Warriors,-1,1
68,68,2016-10-27 18:00:00,Amway Center,"Orlando, FL",19298,18500,Heat,Magic,-1,1
69,69,2016-10-27 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",17923,18165,Mavericks,Pacers,1,-1
70,70,2016-10-27 18:30:00,TD Garden,"Boston, MA",18624,18624,Nets,Celtics,1,-1
71,71,2017-01-02 18:00:00,AmericanAirlines Arena,"Miami, FL",19844,19600,Pistons,Heat,-5,1
72,72,2016-10-27 18:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Pistons,Raptors,1,-1
73,73,2017-01-02 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",17530,18165,Magic,Pacers,2,-2
74,74,2016-10-27 19:00:00,BMO Harris Bradley Center,"Milwaukee, WI",18717,18717,Hornets,Bucks,-1,1
75,75,2017-01-02 19:00:00,Target Center,"Minneapolis, MN",15804,19356,Blazers,Timberwolves,-1,0
76,76,2016-10-27 19:00:00,FedExForum,"Memphis, TN",18119,18119,Timberwolves,Grizzlies,1,-1
77,77,2017-01-02 21:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Raptors,Lakers,-3,1
78,78,2016-10-27 19:00:00,Smoothie King Center,"New Orleans, LA",15869,17188,Nuggets,Pelicans,-1,1
79,79,2016-10-27 19:00:00,Wells Fargo Center,"Philadelphia, PA",20487,20318,Thunder,76ers,-1,1
80,80,2017-04-02 16:00:00,United Center,"Chicago, IL",22019,20917,Hawks,Bulls,3,-1
81,81,2017-02-02 19:30:00,TD Garden,"Boston, MA",18624,18624,Raptors,Celtics,5,-1
82,82,2016-12-02 20:00:00,FedExForum,"Memphis, TN",13344,18119,Magic,Grizzlies,1,-1
83,83,2017-03-02 19:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Wizards,Raptors,-1,2
84,84,2016-12-02 20:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Clippers,Cavaliers,-2,1
85,85,2017-02-02 19:30:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Hawks,Heat,9,-1
86,86,2017-03-02 19:30:00,Philips Arena,"Atlanta, GA",12483,18729,Mavericks,Hawks,2,-1
87,87,2017-04-02 19:00:00,Target Center,"Minneapolis, MN",18960,19356,Kings,Timberwolves,-1,1
88,88,2017-02-02 19:30:00,The Palace of Auburn Hills,"Detroit, MI",14262,22076,Pelicans,Pistons,1,-3
89,89,2017-04-02 21:00:00,Moda Center,"Portland, OR",18915,19441,Suns,Trail,0,-11
90,90,2017-02-02 20:30:00,American Airlines Center,"Dallas, TX",19263,19200,76ers,Mavericks,3,-1
91,91,2017-03-02 19:30:00,AmericanAirlines Arena,"Miami, FL",19609,19600,76ers,Heat,1,-3
92,92,2017-02-02 21:00:00,Pepsi Center,"Denver, CO",12020,19155,Grizzlies,Nuggets,-2,3
93,93,2017-03-02 20:00:00,BMO Harris Bradley Center,"Milwaukee, WI",13214,18717,Nuggets,Bucks,-2,2
94,94,2017-04-03 14:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Hornets,Thunder,-2,3
95,95,2017-02-02 21:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19694,19911,Bucks,Jazz,1,-4
96,96,2017-04-03 14:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Grizzlies,Lakers,1,-1
97,97,2017-03-02 20:00:00,Smoothie King Center,"New Orleans, LA",14406,17188,Pistons,Pelicans,1,-1
