,Unnamed: 0,date,game_center,geo_location,attendance,capacity,home,guest,streak_home,streak_guest
1185,1185,2015-10-20 18:30:00,TD Garden,"Boston, MA",15540,18624,Celtics,Nets,0,0
1186,1186,2015-10-23 18:30:00,TD Garden,"Boston, MA",16101,18624,Celtics,Knicks,0,0
1187,1187,2015-10-07 18:00:00,Verizon Center,"Washington, DC",11670,20173,Wizards,76ers,0,0
1188,1188,2015-10-09 18:00:00,Wells Fargo Center,"Philadelphia, PA",8229,20318,76ers,Cavaliers,0,0
1189,1189,2015-10-13 18:30:00,Madison Square Garden,"New York, NY",19255,19763,Knicks,76ers,0,0
1190,1190,2015-10-17 18:00:00,Wells Fargo Center,"Philadelphia, PA",10798,20318,76ers,Wizards,0,0
1191,1191,2015-10-07 19:00:00,United Center,"Chicago, IL",21199,20917,Bulls,Bucks,0,0
1192,1192,2015-10-09 20:00:00,Coors Events Center,"Boulder, CO",5305,11064,Nuggets,Bulls,0,0
1193,1193,2015-10-13 19:00:00,United Center,"Chicago, IL",21407,20917,Bulls,Pelicans,0,0
1194,1194,2015-10-15 19:00:00,United Center,"Chicago, IL",21713,20917,Bulls,Pistons,0,0
1195,1195,2015-10-20 18:00:00,Spectrum Center,"Charlotte, NC",8769,19077,Hornets,Bulls,0,0
1196,1196,2015-10-21 19:00:00,United Center,"Chicago, IL",21512,20917,Bulls,Pacers,0,0
1197,1197,2015-10-15 19:00:00,Philips Arena,"Atlanta, GA",11801,18729,Hawks,Spurs,0,0
1198,1198,2015-10-17 19:30:00,American Airlines Center,"Dallas, TX",19315,19200,Mavericks,Hawks,0,0
1199,1199,2015-10-19 18:00:00,Philips Arena,"Atlanta, GA",13038,18729,Hawks,Heat,0,0
1200,1200,2015-10-22 19:00:00,Philips Arena,"Atlanta, GA",11273,18729,Hawks,Grizzlies,0,0
1201,1201,2015-10-24 18:30:00,The Palace of Auburn Hills,"Detroit, MI",12804,22076,Pistons,Hawks,0,0
1202,1202,2015-10-05 17:00:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Heat,Hornets,0,0
1203,1203,2015-10-13 18:30:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Heat,Spurs,0,0
1204,1204,2015-10-14 18:00:00,Amway Center,"Orlando, FL",16105,18500,Magic,Heat,0,0
1205,1205,2015-10-18 19:00:00,Toyota Center,"Houston, TX",18334,18104,Rockets,Heat,0,0
1206,1206,2015-10-22 19:00:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Heat,Wizards,0,0
1207,1207,2015-10-24 19:00:00,Smoothie King Center,"New Orleans, LA",16478,17188,Pelicans,Heat,0,0
1208,1208,2015-10-03 21:30:00,STAPLES Center,"Los Angeles, CA",14245,19060,Clippers,Nuggets,0,0
1209,1209,2015-10-21 21:30:00,STAPLES Center,"Los Angeles, CA",15889,19060,Clippers,Warriors,0,0
1210,1210,2015-10-23 21:30:00,STAPLES Center,"Los Angeles, CA",13969,19060,Clippers,Blazers,0,0
1211,1211,2015-10-05 20:00:00,Stan Sheriff Center,"Honolulu, HI",10300,10300,Lakers,Jazz,0,0
1212,1212,2015-10-07 23:00:00,Stan Sheriff Center,"Honolulu, HI",10300,10300,Lakers,Jazz,0,0
1213,1213,2015-10-12 20:30:00,STAPLES Center,"Los Angeles, CA",14810,19060,Lakers,Haifa,0,0
1214,1214,2015-10-20 21:30:00,STAPLES Center,"Los Angeles, CA",15123,19060,Lakers,Blazers,0,0
1215,1215,2015-10-06 21:00:00,Moda Center,"Portland, OR",14976,19441,Trail,Kings,0,0
1216,1216,2015-10-08 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",12033,18422,Suns,Kings,0,0
1217,1217,2015-10-09 21:00:00,Sleep Train Arena,"Sacramento, CA",14083,17317,Kings,Spurs,0,0
1218,1218,2015-10-11 21:00:00,Sleep Train Arena,"Sacramento, CA",14172,17317,Kings,Blazers,0,0
1219,1219,2015-10-07 19:00:00,FedExForum,"Memphis, TN",12826,18119,Grizzlies,Rockets,0,0
1220,1220,2015-10-09 19:00:00,FedExForum,"Memphis, TN",12171,18119,Grizzlies,Haifa,0,0
1221,1221,2015-10-17 19:00:00,FedExForum,"Memphis, TN",14996,18119,Grizzlies,Thunder,0,0
1222,1222,2015-10-19 17:00:00,FedExForum,"Memphis, TN",13387,18119,Grizzlies,Timberwolves,0,0
1223,1223,2015-10-24 18:00:00,Amway Center,"Orlando, FL",12155,18500,Magic,Grizzlies,0,0
1224,1224,2015-10-19 15:00:00,AT&T Center,"San Antonio, TX",17396,18581,Spurs,Pistons,0,0
1225,1225,2015-10-21 19:30:00,AT&T Center,"San Antonio, TX",15774,18581,Spurs,Suns,0,0
1226,1226,2015-10-24 19:30:00,AT&T Center,"San Antonio, TX",18059,18581,Spurs,Rockets,0,0
1227,1227,2015-10-07 19:30:00,American Airlines Center,"Dallas, TX",17038,19200,Mavericks,Nuggets,0,0
1228,1228,2015-10-14 21:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Nuggets,0,0
1229,1229,2015-10-17 20:00:00,Pepsi Center,"Denver, CO",8552,19155,Nuggets,Suns,0,0
1230,1230,2015-10-19 18:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",1,18203,Thunder,Nuggets,0,0
1231,1231,2015-10-23 20:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",17083,19911,Jazz,Nuggets,0,0
1232,1232,2015-10-08 19:00:00,Target Center,"Minneapolis, MN",8601,19356,Timberwolves,Thunder,0,0
1233,1233,2015-10-21 20:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",17806,19911,Jazz,Thunder,0,0
1234,1234,2015-10-13 18:30:00,Air Canada Centre,"Toronto, ON",19277,19800,Raptors,Timberwolves,0,0
1235,1235,2015-10-24 19:00:00,Target Center,"Minneapolis, MN",10101,19356,Timberwolves,Bucks,0,0
1236,1236,2015-10-04 18:00:00,Amway Center,"Orlando, FL",14942,18500,Magic,Hornets,0,0
1237,1237,2015-10-09 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",13475,18165,Pacers,Magic,0,0
1238,1238,2015-10-22 18:00:00,Amway Center,"Orlando, FL",12779,18500,Magic,Pelicans,0,0
1239,1239,2015-10-19 17:00:00,Air Canada Centre,"Toronto, ON",19800,19800,Raptors,Cavaliers,0,0
1240,1240,2015-10-04 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",13725,18165,Pacers,Pelicans,0,0
1241,1241,2015-10-20 19:00:00,Toyota Center,"Houston, TX",16678,18104,Rockets,Pelicans,0,0
1242,1242,2015-10-09 18:30:00,The Palace of Auburn Hills,"Detroit, MI",10019,22076,Pistons,Nets,0,0
1243,1243,2015-10-09 21:00:00,Moda Center,"Portland, OR",19303,19441,Trail,Warriors,0,0
1244,1244,2015-10-13 20:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",15171,19911,Jazz,Blazers,0,0
1245,1245,2015-10-19 20:00:00,Moda Center,"Portland, OR",16352,19441,Trail,Jazz,0,0
1246,1246,2015-10-10 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",10773,18422,Suns,Jazz,0,0
1247,1247,2015-10-14 18:00:00,Quicken Loans Arena,"Cleveland, OH",18624,20562,Cavaliers,Bucks,0,0
1248,1248,2015-10-16 18:00:00,Quicken Loans Arena,"Cleveland, OH",18774,20562,Cavaliers,Pacers,0,0
1249,1249,2015-10-20 18:00:00,Quicken Loans Arena,"Cleveland, OH",18768,20562,Cavaliers,Mavericks,0,0
1250,1250,2015-10-07 18:30:00,The Palace of Auburn Hills,"Detroit, MI",10446,22076,Pistons,Pacers,0,0
1251,1251,2015-10-11 19:30:00,BMO Harris Bradley Center,"Milwaukee, WI",7350,18717,Bucks,Pistons,0,0
1252,1252,2015-10-14 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",12730,18165,Pacers,Pistons,0,0
1253,1253,2015-10-22 18:30:00,The Palace of Auburn Hills,"Detroit, MI",11096,22076,Pistons,Hornets,0,0
1254,1254,2015-10-14 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",12657,18422,Suns,Rockets,0,0
1255,1255,2015-10-22 19:30:00,American Airlines Center,"Dallas, TX",18247,19200,Mavericks,Suns,0,0
1256,1256,2015-10-18 18:00:00,Spectrum Center,"Charlotte, NC",11632,19077,Hornets,Knicks,0,0
1257,1257,2015-10-10 18:00:00,Verizon Center,"Washington, DC",14267,20173,Wizards,Knicks,0,0
1258,1258,2015-10-08 18:30:00,Madison Square Garden,"New York, NY",19037,19763,Knicks,Bauru,0,0
1259,1259,2015-10-18 19:30:00,BMO Harris Bradley Center,"Milwaukee, WI",4716,18717,Bucks,Wizards,0,0
1260,1260,2015-10-12 17:00:00,Verizon Center,"Washington, DC",10233,20173,Wizards,Bauru,0,0
1261,1261,2015-10-08 19:00:00,Toyota Center,"Houston, TX",16839,18104,Rockets,Mavericks,0,0
1262,1262,2015-10-16 21:00:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Rockets,0,0
1263,1263,2016-01-25 19:00:00,Wells Fargo Center,"Philadelphia, PA",9722,20318,76ers,Celtics,-1,2
1264,1264,2016-02-19 19:00:00,Verizon Center,"Washington, DC",12415,20173,Wizards,Jazz,1,-2
1265,1265,2016-04-17 14:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Rockets,1,-1
1266,1266,2016-04-18 14:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Pistons,1,-1
1267,1267,2016-04-19 21:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Rockets,2,-2
1268,1268,2016-04-21 19:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Pistons,2,-2
1269,1269,2016-04-22 20:30:00,Toyota Center,"Houston, TX",18200,18104,Rockets,Warriors,1,-1
1270,1270,2016-04-23 18:00:00,The Palace of Auburn Hills,"Detroit, MI",21584,22076,Pistons,Cavaliers,-3,3
1271,1271,2016-04-25 14:45:00,Toyota Center,"Houston, TX",18200,18104,Rockets,Warriors,-1,1
1272,1272,2016-04-25 19:30:00,The Palace of Auburn Hills,"Detroit, MI",21584,22076,Pistons,Cavaliers,-4,4
1273,1273,2016-04-18 21:30:00,STAPLES Center,"Los Angeles, CA",19122,19060,Clippers,Blazers,1,0
1274,1274,2016-04-21 21:30:00,STAPLES Center,"Los Angeles, CA",19127,19060,Clippers,Blazers,2,0
1275,1275,2016-04-24 21:30:00,Moda Center,"Portland, OR",19761,19441,Trail,Clippers,0,-1
1276,1276,2016-04-26 21:30:00,Moda Center,"Portland, OR",19607,19441,Trail,Clippers,0,-2
1277,1277,2016-04-28 21:00:00,STAPLES Center,"Los Angeles, CA",19060,19060,Clippers,Blazers,-3,0
1278,1278,2016-04-30 21:30:00,Moda Center,"Portland, OR",19768,19441,Trail,Clippers,0,-4
1279,1279,2016-04-17 20:30:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Mavericks,1,-1
1280,1280,2016-04-19 19:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Mavericks,-1,1
1281,1281,2016-04-22 18:00:00,American Airlines Center,"Dallas, TX",20150,19200,Mavericks,Thunder,-1,1
1282,1282,2016-04-24 19:00:00,American Airlines Center,"Dallas, TX",20516,19200,Mavericks,Thunder,-2,2
1283,1283,2016-04-26 19:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Mavericks,3,-3
1284,1284,2016-04-28 21:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Rockets,2,-2
1285,1285,2016-04-18 19:00:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,Grizzlies,1,-1
1286,1286,2016-04-20 20:30:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,Grizzlies,2,-2
1287,1287,2016-04-23 20:30:00,FedExForum,"Memphis, TN",18119,18119,Grizzlies,Spurs,-3,3
1288,1288,2016-04-25 12:00:00,FedExForum,"Memphis, TN",18119,18119,Grizzlies,Spurs,-4,4
1289,1289,2016-04-17 11:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Raptors,Pacers,-1,1
1290,1290,2016-04-19 18:00:00,Air Canada Centre,"Toronto, ON",19800,19800,Raptors,Pacers,1,-1
1291,1291,2016-04-22 18:30:00,Bankers Life Fieldhouse,"Indianapolis, IN",18165,18165,Pacers,Raptors,-2,2
1292,1292,2016-04-24 14:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",18165,18165,Pacers,Raptors,1,-1
1293,1293,2016-04-27 17:00:00,Air Canada Centre,"Toronto, ON",19800,19800,Raptors,Pacers,1,-1
1294,1294,2016-04-17 18:00:00,Philips Arena,"Atlanta, GA",18980,18729,Hawks,Celtics,1,-1
1295,1295,2016-04-30 18:30:00,Bankers Life Fieldhouse,"Indianapolis, IN",18165,18165,Pacers,Raptors,1,-1
1296,1296,2016-04-20 18:00:00,Philips Arena,"Atlanta, GA",18972,18729,Hawks,Celtics,2,-2
1297,1297,2016-05-02 19:00:00,Air Canada Centre,"Toronto, ON",20669,19800,Raptors,Pacers,1,-1
1298,1298,2016-04-23 19:00:00,TD Garden,"Boston, MA",18624,18624,Celtics,Hawks,1,-1
1299,1299,2016-04-25 17:00:00,TD Garden,"Boston, MA",18624,18624,Celtics,Hawks,2,-2
1300,1300,2016-04-18 16:30:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Heat,Hornets,1,-1
1301,1301,2016-04-27 19:30:00,Philips Arena,"Atlanta, GA",18987,18729,Hawks,Celtics,1,-1
1302,1302,2016-04-29 19:00:00,TD Garden,"Boston, MA",18624,18624,Celtics,Hawks,-2,2
1303,1303,2016-04-21 18:00:00,AmericanAirlines Arena,"Miami, FL",19650,19600,Heat,Hornets,2,-2
1304,1304,2016-04-24 16:30:00,Spectrum Center,"Charlotte, NC",19604,19077,Hornets,Heat,1,-1
1305,1305,2016-04-26 18:00:00,Spectrum Center,"Charlotte, NC",19156,19077,Hornets,Heat,2,-2
1306,1306,2016-04-28 19:00:00,AmericanAirlines Arena,"Miami, FL",19685,19600,Heat,Hornets,-3,3
1307,1307,2016-04-30 19:00:00,Spectrum Center,"Charlotte, NC",19636,19077,Hornets,Heat,-1,1
1308,1308,2016-05-02 12:00:00,AmericanAirlines Arena,"Miami, FL",19868,19600,Heat,Hornets,2,-2
1309,1309,2016-05-01 19:30:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,Thunder,5,-1
1310,1310,2016-05-03 20:30:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,Thunder,-1,1
1311,1311,2016-05-07 20:30:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Spurs,-1,1
1312,1312,2016-05-09 19:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Spurs,1,-1
1313,1313,2016-05-11 19:00:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,Thunder,-2,2
1314,1314,2016-05-13 19:30:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Spurs,3,-3
1315,1315,2016-05-03 18:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Hawks,5,-1
1316,1316,2016-05-05 19:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Hawks,6,-2
1317,1317,2016-05-07 18:00:00,Philips Arena,"Atlanta, GA",19089,18729,Hawks,Cavaliers,-3,7
1318,1318,2016-05-09 14:30:00,Philips Arena,"Atlanta, GA",19031,18729,Hawks,Cavaliers,-4,8
1319,1319,2016-05-02 14:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Blazers,3,0
1320,1320,2016-05-04 21:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Blazers,4,0
1321,1321,2016-05-08 19:30:00,Moda Center,"Portland, OR",19673,19441,Trail,Warriors,0,-1
1322,1322,2016-05-10 21:30:00,Moda Center,"Portland, OR",19583,19441,Trail,Warriors,0,1
1323,1323,2016-05-12 21:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Blazers,2,0
1324,1324,2016-05-04 19:00:00,Air Canada Centre,"Toronto, ON",19800,19800,Raptors,Heat,-1,3
1325,1325,2016-05-06 19:00:00,Air Canada Centre,"Toronto, ON",20906,19800,Raptors,Heat,1,-1
1326,1326,2016-05-08 16:00:00,AmericanAirlines Arena,"Miami, FL",19675,19600,Heat,Raptors,-2,2
1327,1327,2016-05-10 19:00:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Heat,Raptors,1,-1
1328,1328,2016-05-12 19:00:00,Air Canada Centre,"Toronto, ON",20155,19800,Raptors,Heat,1,-1
1329,1329,2016-05-14 19:00:00,AmericanAirlines Arena,"Miami, FL",19757,19600,Heat,Raptors,1,-1
1330,1330,2016-05-16 14:30:00,Air Canada Centre,"Toronto, ON",20257,19800,Raptors,Heat,1,-1
1331,1331,2016-05-17 20:00:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Thunder,-1,4
1332,1332,2016-05-19 20:00:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Thunder,1,-1
1333,1333,2016-05-23 19:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Warriors,1,-1
1334,1334,2016-05-25 20:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Warriors,2,-2
1335,1335,2016-05-27 20:00:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Thunder,1,-1
1336,1336,2016-05-29 20:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Warriors,-2,2
1337,1337,2016-05-31 20:00:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Thunder,3,-3
1338,1338,2016-05-18 19:30:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Raptors,9,-1
1339,1339,2016-05-20 19:30:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Raptors,10,-2
1340,1340,2016-05-22 19:30:00,Air Canada Centre,"Toronto, ON",20207,19800,Raptors,Cavaliers,1,-1
1341,1341,2016-05-24 19:30:00,Air Canada Centre,"Toronto, ON",20367,19800,Raptors,Cavaliers,2,-2
1342,1342,2016-05-26 19:30:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Raptors,1,-1
1343,1343,2016-05-28 19:30:00,Air Canada Centre,"Toronto, ON",20605,19800,Raptors,Cavaliers,-2,2
1344,1344,2016-06-03 20:00:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Cavaliers,4,-1
1345,1345,2016-06-06 19:00:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Cavaliers,5,-2
1346,1346,2016-06-09 20:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Warriors,1,-1
1347,1347,2016-06-11 20:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Warriors,-1,1
1348,1348,2016-06-14 20:00:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Cavaliers,-1,1
1349,1349,2016-06-17 20:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Warriors,2,-2
1350,1350,2016-06-20 19:00:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Cavaliers,-3,3
