,Unnamed: 0,date,game_center,geo_location,attendance,capacity,home,guest,streak_home,streak_guest
1003,1003,2016-03-22 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",16155,18165,Pacers,76ers,1,-6
1004,1004,2016-03-22 18:30:00,TD Garden,"Boston, MA",18624,18624,Celtics,Magic,2,-4
1005,1005,2016-03-22 18:30:00,The Palace of Auburn Hills,"Detroit, MI",13577,22076,Pistons,Bucks,3,-2
1006,1006,2016-03-22 19:00:00,Philips Arena,"Atlanta, GA",15729,18729,Hawks,Wizards,-1,5
1007,1007,2016-03-22 19:00:00,United Center,"Chicago, IL",21531,20917,Bulls,Kings,3,-1
1008,1008,2016-03-22 19:00:00,Target Center,"Minneapolis, MN",19452,19356,Timberwolves,Warriors,-2,1
1009,1009,2016-03-22 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",15868,18422,Suns,Grizzlies,-1,2
1010,1010,2016-03-23 19:00:00,Smoothie King Center,"New Orleans, LA",16867,17188,Pelicans,Heat,-1,2
1011,1011,2016-03-23 19:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Rockets,5,-2
1012,1012,2016-03-23 21:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Lakers,Grizzlies,1,-1
1013,1013,2016-03-24 18:00:00,Verizon Center,"Washington, DC",18807,20173,Wizards,Hawks,-1,1
1014,1014,2016-03-24 18:30:00,TD Garden,"Boston, MA",18624,18624,Celtics,Raptors,3,-1
1015,1015,2016-03-24 18:30:00,The Palace of Auburn Hills,"Detroit, MI",16609,22076,Pistons,Magic,4,-5
1016,1016,2016-03-24 18:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Bucks,2,-3
1017,1017,2016-03-24 19:00:00,United Center,"Chicago, IL",21788,20917,Bulls,Knicks,-1,1
1018,1018,2016-03-24 19:00:00,Toyota Center,"Houston, TX",18151,18104,Rockets,Jazz,-3,2
1019,1019,2016-03-24 19:00:00,Target Center,"Minneapolis, MN",12151,19356,Timberwolves,Kings,1,-2
1020,1020,2016-03-24 19:30:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,Heat,1,-1
1021,1021,2016-03-24 20:00:00,Pepsi Center,"Denver, CO",10684,19155,Nuggets,76ers,1,-7
1022,1022,2016-03-24 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",18191,18422,Suns,Lakers,1,-1
1023,1023,2016-03-24 21:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Clippers,2,-3
1024,1024,2016-03-24 21:00:00,Moda Center,"Portland, OR",19819,19441,Trail,Mavericks,0,-1
1025,1025,2016-03-25 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",17517,18165,Pacers,Pelicans,2,-2
1026,1026,2016-03-25 18:30:00,Madison Square Garden,"New York, NY",19812,19763,Knicks,Bulls,2,-2
1027,1027,2016-03-25 19:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Jazz,6,-1
1028,1028,2016-03-25 21:30:00,STAPLES Center,"Los Angeles, CA",19359,19060,Clippers,Blazers,1,0
1029,1029,2016-03-26 18:00:00,Verizon Center,"Washington, DC",20356,20173,Wizards,Timberwolves,-2,2
1030,1030,2016-03-26 18:30:00,The Palace of Auburn Hills,"Detroit, MI",17209,22076,Pistons,Hornets,5,-1
1031,1031,2016-03-26 19:00:00,AmericanAirlines Arena,"Miami, FL",19918,19600,Heat,Magic,1,-6
1032,1032,2016-03-26 19:00:00,Philips Arena,"Atlanta, GA",17070,18729,Hawks,Bucks,2,-4
1033,1033,2016-03-26 19:00:00,Toyota Center,"Houston, TX",18230,18104,Rockets,Raptors,1,-2
1034,1034,2016-03-26 19:30:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,Grizzlies,2,-2
1035,1035,2016-03-26 21:00:00,Sleep Train Arena,"Sacramento, CA",17317,17317,Kings,Suns,1,-1
1036,1036,2016-03-26 21:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Mavericks,3,-2
1037,1037,2016-03-26 21:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Lakers,Nuggets,-2,2
1038,1038,2016-03-27 18:00:00,Amway Center,"Orlando, FL",18846,18500,Magic,Bulls,1,-3
1039,1039,2016-03-27 18:00:00,Smoothie King Center,"New Orleans, LA",17009,17188,Pelicans,Raptors,-3,1
1040,1040,2016-03-27 18:30:00,The Palace of Auburn Hills,"Detroit, MI",17857,22076,Pistons,Hawks,-1,3
1041,1041,2016-03-27 18:30:00,Madison Square Garden,"New York, NY",19812,19763,Knicks,Cavaliers,-1,1
1042,1042,2016-03-27 19:00:00,Target Center,"Minneapolis, MN",14694,19356,Timberwolves,Jazz,-1,1
1043,1043,2016-03-27 19:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Spurs,7,-1
1044,1044,2016-03-27 19:30:00,BMO Harris Bradley Center,"Milwaukee, WI",15544,18717,Bucks,Hornets,-5,1
1045,1045,2016-03-27 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",18055,18422,Suns,Celtics,-2,4
1046,1046,2016-03-27 21:00:00,Moda Center,"Portland, OR",19506,19441,Trail,76ers,0,-8
1047,1047,2016-03-28 14:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Clippers,Nuggets,2,-1
1048,1048,2016-03-28 17:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",17165,18165,Pacers,Rockets,1,-1
1049,1049,2016-03-28 19:00:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,76ers,4,-9
1050,1050,2016-03-28 17:00:00,Sleep Train Arena,"Sacramento, CA",17147,17317,Kings,Mavericks,2,-3
1051,1051,2016-03-28 20:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Lakers,Wizards,-3,1
1052,1052,2016-03-29 18:30:00,AmericanAirlines Arena,"Miami, FL",20003,19600,Heat,Nets,2,-1
1053,1053,2016-03-29 18:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Raptors,Thunder,-1,8
1054,1054,2016-03-29 19:00:00,United Center,"Chicago, IL",21761,20917,Bulls,Hawks,-4,4
1055,1055,2016-03-29 19:00:00,FedExForum,"Memphis, TN",17133,18119,Grizzlies,Spurs,-3,1
1056,1056,2016-03-29 19:00:00,Target Center,"Minneapolis, MN",11141,19356,Timberwolves,Suns,1,-3
1057,1057,2016-03-29 19:00:00,Smoothie King Center,"New Orleans, LA",17000,17188,Pelicans,Knicks,1,-2
1058,1058,2016-03-29 20:00:00,Pepsi Center,"Denver, CO",14844,19155,Nuggets,Mavericks,-2,1
1059,1059,2016-03-29 20:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19911,19911,Jazz,Lakers,2,-4
1060,1060,2016-03-29 21:00:00,Moda Center,"Portland, OR",19393,19441,Trail,Kings,0,-1
1061,1061,2016-03-29 21:30:00,STAPLES Center,"Los Angeles, CA",19258,19060,Clippers,Celtics,3,-1
1062,1062,2016-03-30 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",17050,18165,Pacers,Bulls,-1,1
1063,1063,2016-03-30 18:00:00,Amway Center,"Orlando, FL",17536,18500,Magic,Nets,2,-2
1064,1064,2016-03-30 18:00:00,Wells Fargo Center,"Philadelphia, PA",14486,20318,76ers,Hornets,-10,2
1065,1065,2016-03-30 18:30:00,The Palace of Auburn Hills,"Detroit, MI",18201,22076,Pistons,Thunder,1,-1
1066,1066,2016-03-30 19:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Rockets,-1,1
1067,1067,2016-03-30 21:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Wizards,5,-1
1068,1068,2016-03-31 18:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Raptors,Hawks,1,-1
1069,1069,2016-03-31 19:00:00,FedExForum,"Memphis, TN",16401,18119,Grizzlies,Nuggets,-4,1
1070,1070,2016-03-31 19:00:00,BMO Harris Bradley Center,"Milwaukee, WI",15733,18717,Bucks,Suns,1,-4
1071,1071,2016-03-31 19:00:00,Target Center,"Minneapolis, MN",12252,19356,Timberwolves,Clippers,-1,4
1072,1072,2016-03-31 19:30:00,American Airlines Center,"Dallas, TX",20435,19200,Mavericks,Knicks,2,-3
1073,1073,2016-03-31 19:30:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,Pelicans,2,-1
1074,1074,2016-03-31 20:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19911,19911,Jazz,Warriors,-1,6
1075,1075,2016-03-31 21:00:00,Sleep Train Arena,"Sacramento, CA",17185,17317,Kings,Wizards,1,-2
1076,1076,2016-03-31 21:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Lakers,Heat,1,-1
1077,1077,2016-04-01 18:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Nets,1,-3
1078,1078,2016-04-01 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",17234,18165,Pacers,Magic,-2,3
1079,1079,2016-04-01 18:00:00,Toyota Center,"Houston, TX",18244,18104,Rockets,Bulls,-1,2
1080,1080,2016-04-01 19:00:00,Smoothie King Center,"New Orleans, LA",16269,17188,Pelicans,Nuggets,1,-1
1081,1081,2016-04-01 20:30:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Thunder,Clippers,1,-1
1082,1082,2016-04-01 21:00:00,Moda Center,"Portland, OR",19393,19441,Trail,Celtics,0,-2
1083,1083,2016-04-02 18:00:00,Spectrum Center,"Charlotte, NC",19244,19077,Hornets,76ers,3,-11
1084,1084,2016-04-02 18:30:00,The Palace of Auburn Hills,"Detroit, MI",19031,22076,Pistons,Mavericks,-1,3
1085,1085,2016-04-02 18:30:00,Madison Square Garden,"New York, NY",19812,19763,Knicks,Nets,1,-4
1086,1086,2016-04-02 19:00:00,Philips Arena,"Atlanta, GA",19427,18729,Hawks,Cavaliers,-2,2
1087,1087,2016-04-02 19:00:00,FedExForum,"Memphis, TN",17077,18119,Grizzlies,Raptors,-5,2
1088,1088,2016-04-02 19:00:00,BMO Harris Bradley Center,"Milwaukee, WI",16268,18717,Bucks,Magic,2,-1
1089,1089,2016-04-02 20:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19911,19911,Jazz,Timberwolves,1,-2
1090,1090,2016-04-02 21:00:00,Sleep Train Arena,"Sacramento, CA",17317,17317,Kings,Heat,-1,1
1091,1091,2016-04-02 21:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Celtics,-1,1
1092,1092,2016-04-02 21:30:00,Talking Stick Resort Arena,"Phoenix, AZ",17345,18422,Suns,Wizards,-5,1
1093,1093,2016-04-03 18:30:00,Wells Fargo Center,"Philadelphia, PA",19213,20318,76ers,Pacers,-12,1
1094,1094,2016-04-03 19:00:00,United Center,"Chicago, IL",22197,20917,Bulls,Pistons,-1,1
1095,1095,2016-04-03 19:30:00,AT&T Center,"San Antonio, TX",18418,18581,Spurs,Raptors,3,-1
1096,1096,2016-04-03 20:00:00,Pepsi Center,"Denver, CO",15607,19155,Nuggets,Kings,-2,1
1097,1097,2016-04-03 21:00:00,Moda Center,"Portland, OR",19633,19441,Trail,Heat,0,-1
1098,1098,2016-04-04 14:30:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Cavaliers,Hornets,3,-1
1099,1099,2016-04-04 14:30:00,Toyota Center,"Houston, TX",18462,18104,Rockets,Thunder,1,-1
1100,1100,2016-04-04 14:30:00,Target Center,"Minneapolis, MN",16117,19356,Timberwolves,Mavericks,-3,4
1101,1101,2016-04-04 14:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Clippers,Wizards,1,-1
1102,1102,2016-04-04 17:00:00,Amway Center,"Orlando, FL",17741,18500,Magic,Grizzlies,1,-6
1103,1103,2016-04-04 17:00:00,Talking Stick Resort Arena,"Phoenix, AZ",17279,18422,Suns,Jazz,-6,2
1104,1104,2016-04-04 18:00:00,BMO Harris Bradley Center,"Milwaukee, WI",15768,18717,Bucks,Bulls,-1,1
1105,1105,2016-04-04 18:30:00,Madison Square Garden,"New York, NY",19812,19763,Knicks,Pacers,-1,2
1106,1106,2016-04-04 19:00:00,ORACLE Arena,"Oakland, CA",19596,19596,Warriors,Blazers,1,0
1107,1107,2016-04-04 20:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Lakers,Celtics,-1,2
1108,1108,2016-04-06 18:00:00,Wells Fargo Center,"Philadelphia, PA",10978,20318,76ers,Pelicans,1,-1
1109,1109,2016-04-06 19:00:00,AmericanAirlines Arena,"Miami, FL",19621,19600,Heat,Pistons,1,-1
1110,1110,2016-04-06 18:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Raptors,Hornets,1,-2
1111,1111,2016-04-06 19:00:00,Philips Arena,"Atlanta, GA",15176,18729,Hawks,Suns,1,-7
1112,1112,2016-04-06 19:00:00,FedExForum,"Memphis, TN",17591,18119,Grizzlies,Bulls,1,-1
1113,1113,2016-04-06 19:00:00,BMO Harris Bradley Center,"Milwaukee, WI",15061,18717,Bucks,Cavaliers,-2,4
1114,1114,2016-04-06 20:00:00,Pepsi Center,"Denver, CO",12611,19155,Nuggets,Thunder,-3,1
1115,1115,2016-04-06 20:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19381,19911,Jazz,Spurs,-1,4
1116,1116,2016-04-06 21:00:00,Sleep Train Arena,"Sacramento, CA",17317,17317,Kings,Blazers,-1,0
