,date,game_center,geo_location,attendance,capacity,home,guest,mon,day,time,dow,night
53,2016-10-13 20:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",16521,19911,Suns,Jazz,10,13,20,3,1
54,2016-10-20 20:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",17519,19911,Blazers,Jazz,10,20,20,3,1
55,2016-10-04 21:00:00,Moda Center,"Portland, OR",15004,19441,Jazz,Trail,10,4,21,1,1
56,2016-10-12 19:30:00,American Airlines Center,"Dallas, TX",18329,19200,Thunder,Mavericks,10,12,19,2,1
57,2016-10-17 18:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",1,18203,Timberwolves,Thunder,10,17,18,0,0
58,2016-10-19 19:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",1,18203,Nuggets,Thunder,10,19,19,2,1
59,2017-03-02 19:00:00,Amway Center,"Orlando, FL",16005,18500,Knicks,Magic,3,2,19,3,1
60,2016-12-02 19:00:00,Spectrum Center,"Charlotte, NC",14471,19077,Mavericks,Hornets,12,2,19,4,1
61,2017-02-02 19:00:00,Amway Center,"Orlando, FL",16662,18500,Pacers,Magic,2,2,19,3,1
62,2017-04-02 14:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Lakers,Clippers,4,2,14,6,0
63,2017-02-02 19:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Timberwolves,Cavaliers,2,2,19,3,1
64,2017-01-02 18:00:00,Philips Arena,"Atlanta, GA",18088,18729,Spurs,Hawks,1,2,18,0,0
65,2016-10-26 18:30:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Knicks,Cavaliers,10,26,18,2,0
66,2016-10-26 21:00:00,Moda Center,"Portland, OR",19446,19441,Jazz,Trail,10,26,21,2,1
67,2016-10-26 21:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Spurs,Warriors,10,26,21,2,1
68,2016-10-27 18:00:00,Amway Center,"Orlando, FL",19298,18500,Heat,Magic,10,27,18,3,0
69,2016-10-27 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",17923,18165,Mavericks,Pacers,10,27,18,3,0
70,2016-10-27 18:30:00,TD Garden,"Boston, MA",18624,18624,Nets,Celtics,10,27,18,3,0
71,2017-01-02 18:00:00,AmericanAirlines Arena,"Miami, FL",19844,19600,Pistons,Heat,1,2,18,0,0
72,2016-10-27 18:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Pistons,Raptors,10,27,18,3,0
73,2017-01-02 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",17530,18165,Magic,Pacers,1,2,18,0,0
74,2016-10-27 19:00:00,BMO Harris Bradley Center,"Milwaukee, WI",18717,18717,Hornets,Bucks,10,27,19,3,1
75,2017-01-02 19:00:00,Target Center,"Minneapolis, MN",15804,19356,Blazers,Timberwolves,1,2,19,0,1
76,2016-10-27 19:00:00,FedExForum,"Memphis, TN",18119,18119,Timberwolves,Grizzlies,10,27,19,3,1
77,2017-01-02 21:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Raptors,Lakers,1,2,21,0,1
78,2016-10-27 19:00:00,Smoothie King Center,"New Orleans, LA",15869,17188,Nuggets,Pelicans,10,27,19,3,1
79,2016-10-27 19:00:00,Wells Fargo Center,"Philadelphia, PA",20487,20318,Thunder,76ers,10,27,19,3,1
80,2017-04-02 16:00:00,United Center,"Chicago, IL",22019,20917,Hawks,Bulls,4,2,16,6,0
81,2017-02-02 19:30:00,TD Garden,"Boston, MA",18624,18624,Raptors,Celtics,2,2,19,3,1
82,2016-12-02 20:00:00,FedExForum,"Memphis, TN",13344,18119,Magic,Grizzlies,12,2,20,4,1
83,2017-03-02 19:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Wizards,Raptors,3,2,19,3,1
84,2016-12-02 20:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Clippers,Cavaliers,12,2,20,4,1
85,2017-02-02 19:30:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Hawks,Heat,2,2,19,3,1
86,2017-03-02 19:30:00,Philips Arena,"Atlanta, GA",12483,18729,Mavericks,Hawks,3,2,19,3,1
87,2017-04-02 19:00:00,Target Center,"Minneapolis, MN",18960,19356,Kings,Timberwolves,4,2,19,6,1
88,2017-02-02 19:30:00,The Palace of Auburn Hills,"Detroit, MI",14262,22076,Pelicans,Pistons,2,2,19,3,1
89,2017-04-02 21:00:00,Moda Center,"Portland, OR",18915,19441,Suns,Trail,4,2,21,6,1
90,2017-02-02 20:30:00,American Airlines Center,"Dallas, TX",19263,19200,76ers,Mavericks,2,2,20,3,1
91,2017-03-02 19:30:00,AmericanAirlines Arena,"Miami, FL",19609,19600,76ers,Heat,3,2,19,3,1
92,2017-02-02 21:00:00,Pepsi Center,"Denver, CO",12020,19155,Grizzlies,Nuggets,2,2,21,3,1
93,2017-03-02 20:00:00,BMO Harris Bradley Center,"Milwaukee, WI",13214,18717,Nuggets,Bucks,3,2,20,3,1
94,2017-04-03 14:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Hornets,Thunder,4,3,14,0,0
95,2017-02-02 21:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19694,19911,Bucks,Jazz,2,2,21,3,1
96,2017-04-03 14:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Grizzlies,Lakers,4,3,14,0,0
97,2017-03-02 20:00:00,Smoothie King Center,"New Orleans, LA",14406,17188,Pistons,Pelicans,3,2,20,3,1
98,2017-01-03 19:00:00,BMO Harris Bradley Center,"Milwaukee, WI",17423,18717,Thunder,Bucks,1,3,19,1,1
