,Unnamed: 0.1,date,game_center,geo_location,attendance,capacity,guest,home,streak_home,streak_guest,mon,day,time,dow,night,weekday,April,May,June,July,August,September,December,January,attendace_ratio,pos,visit_code,home_code,popu,land_miles,density,income,true,pred
59,59,2017-03-02 19:00:00,Amway Center,"Orlando, FL",16005,18500,Knicks,Magic,-1,1,3,2,19,3,1,1,0,0,0,0,0,0,0,0,0.8651351351351352,4,14,16,270934.0,102.4,2645.84,41871.0,0.0,1.0
60,60,2016-12-02 19:00:00,Spectrum Center,"Charlotte, NC",14471,19077,Mavericks,Hornets,1,-2,12,2,19,4,1,1,0,0,0,0,0,0,1,0,0.7585574251716727,23,17,11,132609.0,109.0,1216.6,46119.0,0.0,1.0
61,61,2017-02-02 19:00:00,Amway Center,"Orlando, FL",16662,18500,Pacers,Magic,-2,4,2,2,19,3,1,1,0,0,0,0,0,0,0,0,0.9006486486486487,4,20,16,270934.0,102.4,2645.84,41871.0,1.0,1.0
62,62,2017-04-02 14:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Lakers,Clippers,3,-4,4,2,14,6,0,0,1,0,0,0,0,0,0,0,1.0,20,15,7,3971883.0,468.7,8474.25,45903.0,1.0,1.0
63,63,2017-02-02 19:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Timberwolves,Cavaliers,1,-1,2,2,19,3,1,1,0,0,0,0,0,0,0,0,1.0,19,28,5,388072.0,77.7,4994.49,42215.0,1.0,1.0
64,64,2017-01-02 18:00:00,Philips Arena,"Atlanta, GA",18088,18729,Spurs,Hawks,3,-1,1,2,18,0,0,1,0,0,0,0,0,0,0,1,0.9657750013348283,18,25,9,463878.0,133.2,3482.57,51948.0,1.0,1.0
65,65,2016-10-26 18:30:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Knicks,Cavaliers,1,-1,10,26,18,2,0,1,0,0,0,0,0,0,0,0,1.0,19,14,5,388072.0,77.7,4994.49,42215.0,1.0,1.0
66,66,2016-10-26 21:00:00,Moda Center,"Portland, OR",19446,19441,Jazz,Trail,0,-1,10,26,21,2,1,1,0,0,0,0,0,0,0,0,1.0002571884162337,13,12,29,632309.0,133.4,4739.95,46090.0,1.0,1.0
67,67,2016-10-26 21:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Spurs,Warriors,-1,1,10,26,21,2,1,1,0,0,0,0,0,0,0,0,1.0,16,25,30,419267.0,55.9,7500.3,63024.0,1.0,1.0
68,68,2016-10-27 18:00:00,Amway Center,"Orlando, FL",19298,18500,Heat,Magic,-1,1,10,27,18,3,0,1,0,0,0,0,0,0,0,0,1.0431351351351352,4,10,16,270934.0,102.4,2645.84,41871.0,1.0,1.0
69,69,2016-10-27 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",17923,18165,Mavericks,Pacers,1,-1,10,27,18,3,0,1,0,0,0,0,0,0,0,0,0.9866776768510872,6,17,20,853173.0,361.4,2360.74,45548.0,1.0,1.0
70,70,2016-10-27 18:30:00,TD Garden,"Boston, MA",18624,18624,Nets,Celtics,1,-1,10,27,18,3,0,1,0,0,0,0,0,0,0,0,1.0,25,18,6,667137.0,48.3,13812.36,52792.0,1.0,1.0
71,71,2017-01-02 18:00:00,AmericanAirlines Arena,"Miami, FL",19844,19600,Pistons,Heat,-5,1,1,2,18,0,0,1,0,0,0,0,0,0,0,1,1.0124489795918368,3,22,10,441003.0,35.9,12284.21,38632.0,1.0,1.0
72,72,2016-10-27 18:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Pistons,Raptors,1,-1,10,27,18,3,0,1,0,0,0,0,0,0,0,0,1.0,1,22,23,2731571.0,243.33,11225.79,58381.0,1.0,1.0
73,73,2017-01-02 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",17530,18165,Magic,Pacers,2,-2,1,2,18,0,0,1,0,0,0,0,0,0,0,1,0.9650426644646298,6,16,20,853173.0,361.4,2360.74,45548.0,1.0,1.0
74,74,2016-10-27 19:00:00,BMO Harris Bradley Center,"Milwaukee, WI",18717,18717,Hornets,Bucks,-1,1,10,27,19,3,1,1,0,0,0,0,0,0,0,0,1.0,5,11,3,559121.0,187.7,2978.8,46132.0,1.0,0.0
75,75,2017-01-02 19:00:00,Target Center,"Minneapolis, MN",15804,19356,Blazers,Timberwolves,-1,0,1,2,19,0,1,1,0,0,0,0,0,0,0,1,0.8164910105393677,27,2,28,410939.0,54.0,7609.98,54304.0,0.0,0.0
